2026-09-07 01:33:08 [INFO] Starting read-only 10-bit inspection; source=E:\torrents\final_organized
2026-09-07 01:33:08 [INFO] ===============================================================================
2026-09-07 01:33:08 [INFO] HANDBRAKE BIT-DEPTH INSPECTOR
2026-09-07 01:33:08 [INFO] ===============================================================================
2026-09-07 01:33:08 [INFO] Library   : E:\torrents\final_organized
2026-09-07 01:33:08 [INFO] Workers   : 8
2026-09-07 01:33:08 [INFO] Min size  : 0 MB
2026-09-07 01:33:08 [INFO] ffprobe   : C:\Users\bensm\AppData\Local\Microsoft\WinGet\Links\ffprobe.EXE
2026-09-07 01:33:08 [INFO] Log       : E:\torrents\tools\ReportsAndLogs\10bit\10bit.log
2026-09-07 01:33:08 [INFO] Report    : E:\torrents\tools\ReportsAndLogs\10bit\10bit_report.txt
2026-09-07 01:33:08 [INFO] 
2026-09-07 01:33:08 [INFO] Found 381 canonical MKV movie file(s).
2026-09-07 01:33:08 [INFO] Probe cache: E:\torrents\tools\ReportsAndLogs\state.db (0 entries loaded)
2026-09-07 01:33:10 [INFO] [177/381] SKIP-SDR  Magnolia (1999).mkv
2026-09-07 01:33:10 [INFO] [178/381] SKIP-SDR  Logan (2017).mkv
2026-09-07 01:33:10 [INFO] [179/381] SKIP-SDR  Meet the Robinsons (2007).mkv
2026-09-07 01:33:10 [INFO] [180/381] SKIP-SDR  Megamind (2010).mkv
2026-09-07 01:33:10 [INFO] [181/381] SKIP-SDR  Mean Girls (2004).mkv
2026-09-07 01:33:10 [INFO] [182/381] SKIP-SDR  Memento (2000).mkv
2026-09-07 01:33:10 [INFO] [183/381] SKIP-SDR  Monsters University (2013).mkv
2026-09-07 01:33:10 [INFO] [184/381] SKIP-SDR  Monsters, Inc (2001).mkv
2026-09-07 01:33:10 [INFO] [185/381] SKIP-SDR  Mission - Impossible - Fallout (2018).mkv
2026-09-07 01:33:10 [INFO] [186/381] SKIP-SDR  Minority Report (2002).mkv
2026-09-07 01:33:10 [INFO] [187/381] SKIP-SDR  Napoleon Dynamite (2004).mkv
2026-09-07 01:33:10 [INFO] [188/381] SKIP-SDR  Moon (2009).mkv
2026-09-07 01:33:10 [INFO] [189/381] SKIP-SDR  Mulan (1998).mkv
2026-09-07 01:33:10 [INFO] [190/381] SKIP-SDR  National Lampoon's Christmas Vacation (1989).mkv
2026-09-07 01:33:10 [INFO] [191/381] SKIP-SDR  National Treasure (2004).mkv
2026-09-07 01:33:10 [INFO] [192/381] SKIP-SDR  Nightcrawler (2014).mkv
2026-09-07 01:33:10 [INFO] [193/381] SKIP-SDR  Night at the Museum (2006).mkv
2026-09-07 01:33:10 [INFO] [194/381] SKIP-SDR  National Treasure Book of Secrets (2007).mkv
2026-09-07 01:33:10 [INFO] [195/381] SKIP-SDR  Oblivion (2013).mkv
2026-09-07 01:33:10 [INFO] [196/381] SKIP-SDR  No Country for Old Men (2007).mkv
2026-09-07 01:33:10 [INFO] [197/381] SKIP-SDR  Now You See Me (2013).mkv
2026-09-07 01:33:10 [INFO] [198/381] SKIP-SDR  Obsession (2026).mkv
2026-09-07 01:33:10 [INFO] [199/381] SKIP-SDR  Open Season (2006).mkv
2026-09-07 01:33:10 [INFO] [200/381] SKIP-SDR  One Flew Over the Cuckoo's Nest (1975).mkv
2026-09-07 01:33:10 [INFO] [201/381] SKIP-SDR  October Sky (1999).mkv
2026-09-07 01:33:10 [INFO] [202/381] SKIP-SDR  Office Space (1999).mkv
2026-09-07 01:33:10 [INFO] [203/381] SKIP-SDR  Osmosis Jones (2001).mkv
2026-09-07 01:33:10 [INFO] [204/381] SKIP-SDR  Over the Hedge (2006).mkv
2026-09-07 01:33:10 [INFO] [205/381] SKIP-SDR  Oppenheimer (2023).mkv
2026-09-07 01:33:10 [INFO] [206/381] SKIP-SDR  Parasite (2019).mkv
2026-09-07 01:33:10 [INFO] [207/381] SKIP-SDR  Pineapple Express (2008).mkv
2026-09-07 01:33:10 [INFO] [208/381] SKIP-SDR  Pearl (2022).mkv
2026-09-07 01:33:10 [INFO] [209/381] SKIP-SDR  Pirates of the Caribbean Dead Man's Chest (2006).mkv
2026-09-07 01:33:10 [INFO] [210/381] SKIP-SDR  Pirates of the Caribbean At World's End (2007).mkv
2026-09-07 01:33:10 [INFO] [211/381] SKIP-SDR  Prisoners (2013).mkv
2026-09-07 01:33:10 [INFO] [212/381] SKIP-SDR  Pirates of the Caribbean The Curse of the Black Pearl (2003).mkv
2026-09-07 01:33:10 [INFO] [213/381] SKIP-SDR  Pitch Perfect (2012).mkv
2026-09-07 01:33:10 [INFO] [214/381] SKIP-SDR  Project Hail Mary (2026).mkv
2026-09-07 01:33:10 [INFO] [215/381] SKIP-SDR  Ratatouille (2007).mkv
2026-09-07 01:33:10 [INFO] [216/381] SKIP-SDR  Pulp Fiction (1994).mkv
2026-09-07 01:33:10 [INFO] [217/381] SKIP-SDR  Project X (2012).mkv
2026-09-07 01:33:10 [INFO] [218/381] SKIP-SDR  Ready Player One (2018).mkv
2026-09-07 01:33:10 [INFO] [219/381] SKIP-SDR  Real Steel (2011).mkv
2026-09-07 01:33:10 [INFO] [220/381] SKIP-SDR  Requiem for a Dream (2000).mkv
2026-09-07 01:33:10 [INFO] [221/381] SKIP-SDR  Remember the Titans (2000).mkv
2026-09-07 01:33:10 [INFO] [222/381] SKIP-SDR  Rise of the Planet of the Apes (2011).mkv
2026-09-07 01:33:10 [INFO] [223/381] SKIP-SDR  Robots (2005).mkv
2026-09-07 01:33:10 [INFO] [224/381] SKIP-SDR  Rocky (1976).mkv
2026-09-07 01:33:10 [INFO] [225/381] SKIP-SDR  Room (2015).mkv
2026-09-07 01:33:10 [INFO] [226/381] SKIP-SDR  Sausage Party (2016).mkv
2026-09-07 01:33:10 [INFO] [227/381] SKIP-SDR  Saving Private Ryan (1998).mkv
2026-09-07 01:33:10 [INFO] [228/381] SKIP-SDR  Scarface (1983).mkv
2026-09-07 01:33:10 [INFO] [229/381] SKIP-SDR  Saw (2004).mkv
2026-09-07 01:33:10 [INFO] [230/381] SKIP-SDR  Schindler's List (1993).mkv
2026-09-07 01:33:10 [INFO] [231/381] SKIP-SDR  Scream (1996).mkv
2026-09-07 01:33:10 [INFO] [232/381] SKIP-SDR  Shark Tale (2004).mkv
2026-09-07 01:33:10 [INFO] [233/381] SKIP-SDR  Se7en (1995).mkv
2026-09-07 01:33:10 [INFO] [234/381] SKIP-SDR  Shazam! (2019).mkv
2026-09-07 01:33:10 [INFO] [235/381] SKIP-SDR  Shrek 2 (2004).mkv
2026-09-07 01:33:10 [INFO] [236/381] SKIP-SDR  Shrek (2001).mkv
2026-09-07 01:33:10 [INFO] [237/381] SKIP-SDR  Shrek Forever After (2010).mkv
2026-09-07 01:33:10 [INFO] [238/381] SKIP-SDR  Shutter Island (2010).mkv
2026-09-07 01:33:10 [INFO] [239/381] SKIP-SDR  Signs (2002).mkv
2026-09-07 01:33:10 [INFO] [240/381] SKIP-SDR  Sinister (2012).mkv
2026-09-07 01:33:10 [INFO] [241/381] SKIP-SDR  Sicario (2015).mkv
2026-09-07 01:33:10 [INFO] [242/381] SKIP-SDR  Sinners (2025).mkv
